Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00339625037775504,-4.56196186146274E-17,0.686017296687182,0,0,0,215.11718874645,27.9655692941818,5.41977429416126E-15,0.0203842379970154,32.8468285655821,-2.51574877929879E-16,60.2004073851413,0,0,0,0,0,0,package://krab/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://krab/meshes/base_link.STL,,body-1,Coordinate System23,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
ltcl,-1.67599378819716E-10,-1.67599255450665E-10,0.1524,0,0,0,2.07482643917772,0.0438326042874702,-7.3686542820157E-09,-1.29073372955264E-10,0.0438325958200192,1.29073374169909E-10,0.00760787465936534,0,0,0,0,0,0,package://krab/meshes/ltcl.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://krab/meshes/ltcl.STL,,conn_link-1,Origin_ltclj,Axis_ltclj,ltclj,revolute,-0.50519,-0.50289,0.6858,1.5708,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
ltl,-8.0440239191848E-07,-0.15845082748447,0.0104249698245448,0,0,0,7.89440861159368,0.424937432792702,-4.44327828073804E-07,2.62637361762703E-09,0.0225577990689847,0.0108132079799164,0.424665675022903,0,0,0,0,0,0,package://krab/meshes/ltl.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://krab/meshes/ltl.STL,,leg-1,Origin_ltlj,Axis_ltlj,ltlj,revolute,0,0,0.3048,0,0,0,ltcl,1,0,0,0,0,0,0,,,,,,,,
lccl,-1.67586435588126E-10,-1.67599247786544E-10,0.1524,0,0,0,2.07482643917772,0.0438326042874702,-7.36865428286881E-09,-1.29073368226956E-10,0.0438325958200192,1.2907337100677E-10,0.00760787465936533,0,0,0,0,0,0,package://krab/meshes/lccl.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://krab/meshes/lccl.STL,,conn_link-2,Origin_lcclj,Axis_lcclj,lcclj,revolute,-0.0022991,-0.7112,0.6858,1.5708,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
lcl,-8.04402379058073E-07,-0.15845082748447,0.0104249698245444,0,0,0,7.89440861159367,0.424937432792702,-4.44327828054746E-07,2.62637362151809E-09,0.0225577990689847,0.0108132079799165,0.424665675022903,0,0,0,0,0,0,package://krab/meshes/lcl.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://krab/meshes/lcl.STL,,leg-2,Origin_lclj,Axis_lclj,lclj,revolute,0,0,0.3048,0,0,0,lccl,1,0,0,0,0,0,0,,,,,,,,
lbcl,-1.67599267797414E-10,-1.67599233262031E-10,0.1524,0,0,0,2.07482643917772,0.0438326042874702,-7.36865428173661E-09,-1.29073373746462E-10,0.0438325958200191,1.29073371870967E-10,0.00760787465936533,0,0,0,0,0,0,package://krab/meshes/lbcl.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://krab/meshes/lbcl.STL,,conn_link-3,Origin_lbclj,Axis_lbclj,lbclj,revolute,0.5006,-0.50289,0.6858,1.5708,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
lbl,-8.0440239191848E-07,-0.15845082748447,0.0104249698245447,0,0,0,7.89440861159367,0.424937432792702,-4.44327828043946E-07,2.62637361863288E-09,0.0225577990689847,0.0108132079799164,0.424665675022903,0,0,0,0,0,0,package://krab/meshes/lbl.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://krab/meshes/lbl.STL,,leg-3,Origin_lblj,Axis_lblj,lblj,revolute,0,0,0.3048,0,0,0,lbcl,1,0,0,0,0,0,0,,,,,,,,
rtcl,-1.67598157574389E-10,-1.67599241101568E-10,0.1524,0,0,0,2.07482643917772,0.0438326042874702,-7.36865428165347E-09,-1.29073621672238E-10,0.0438325958200192,1.29073372576138E-10,0.00760787465936534,0,0,0,0,0,0,package://krab/meshes/rtcl.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://krab/meshes/rtcl.STL,,conn_link-4,Origin_rtclj,Axis_rtclj,rtclj,revolute,-0.50519,0.50289,0.6858,1.5708,0,3.1416,base_link,0,1,0,0,0,0,0,,,,,,,,
rtl,-8.04402391807457E-07,-0.15845082748447,0.0104249698245447,0,0,0,7.89440861159368,0.424937432792703,-4.44327827957761E-07,2.626373620724E-09,0.0225577990689847,0.0108132079799165,0.424665675022904,0,0,0,0,0,0,package://krab/meshes/rtl.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://krab/meshes/rtl.STL,,leg-4,Origin_rtlj,Axis_rtlj,rtlj,revolute,0,0,0.3048,0,0,0,rtcl,1,0,0,0,0,0,0,,,,,,,,
rccl,-1.67611000756491E-10,-1.67599251833889E-10,0.1524,0,0,0,2.07482643917772,0.0438326042874702,-7.36865428177567E-09,-1.29073616102195E-10,0.0438325958200192,1.29073374074576E-10,0.00760787465936533,0,0,0,0,0,0,package://krab/meshes/rccl.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://krab/meshes/rccl.STL,,conn_link-5,Origin_rcclj,Axis_rcclj,rcclj,revolute,-0.0022991,0.7112,0.6858,1.5708,0,3.1416,base_link,0,1,0,0,0,0,0,,,,,,,,
